year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1999    5.3    5.5    7.8   10.6   13.4   14.6   17.9   16.9   15.9   11.5    8.6    4.7    5.99   10.61   16.49   11.98   11.09
2000    6.5    6.4    8.5    8.9   14.2   14.7   16.6   17.3   15.0   11.1    7.2    5.6    5.84   10.58   16.21   11.10   11.02
2001    4.0    4.8    5.9    9.0   15.0   14.4   16.6   16.8   13.8   13.1    8.8    5.5    4.80   10.01   15.93   11.90   10.68
2002    7.0    6.4    8.3   10.9   13.5   15.3   16.0   17.6   15.6    9.9    8.4    5.4    6.26   10.89   16.33   11.26   11.21
2003    5.4    6.0   10.0   12.4   12.9   16.9   18.7   18.8   15.5   10.5    9.3    6.3    5.62   11.77   18.14   11.75   11.93
2004    5.8    6.3    8.2   10.8   14.2   15.6   16.5   17.9   15.1   10.5    8.7    7.4    6.13   11.05   16.70   11.40   11.43
2005    7.1    5.5    8.4   10.3   12.4   16.2   17.3   16.9   15.4   12.5    7.8    6.4    6.70   10.37   16.81   11.89   11.38
2006    6.0    5.9    5.4    9.6   13.2   17.1   20.4   16.8   16.8   12.9    8.7    7.0    6.10    9.38   18.12   12.84   11.69
2007    7.2    6.7    8.6   13.3   12.8   15.6   16.3   16.1   14.0   12.8    8.6    6.3    7.00   11.56   15.98   11.79   11.55
2008    6.1    7.7    6.8    9.5   15.3   15.3   17.7   16.7   14.4   10.4    7.5    5.3    6.69   10.55   16.59   10.76   11.07
2009    5.3    5.5    8.3   11.8   13.7   16.6   17.7   16.9   14.9   11.9    8.1    3.7    5.33   11.26   17.09   11.65   11.23
2010    3.0    3.5    7.4   10.7   12.8   17.0   16.7   16.2   14.6   11.2    5.5    1.7    3.38   10.30   16.62   10.46   10.06
2011    4.8    6.5    7.9   13.6   13.1   14.8   17.0   15.5   15.0   12.1   10.5    5.9    4.26   11.49   15.79   12.56   11.42
2012    5.8    7.1   10.9    8.6   13.3   14.0   15.6   17.3   13.5    9.5    7.3    5.0    6.24   10.96   15.67   10.11   10.68
2013    4.9    5.4    4.2    8.6   12.5   15.8   19.8   17.3   14.6   12.0    7.3    7.6    5.11    8.42   17.64   11.32   10.87
2014    5.7    6.2    8.6   11.5   13.5   16.7   19.1   15.9   16.1   12.1    9.0    6.0    6.50   11.19   17.21   12.42   11.72
2015    5.2    5.8    7.7   10.9   11.2   14.5   15.9   16.7   14.7   12.4    8.8    8.3    5.65    9.94   15.70   11.97   11.04
2016    5.4    5.2    8.0    8.8   14.2   16.1   16.5   17.1   16.0   11.9    6.5    8.5    6.35   10.34   16.59   11.47   11.22
2017    6.4    6.7    9.0   10.2   15.4   15.5   16.7   16.4   14.2   12.5    6.7    5.7    7.23   11.55   16.21   11.15   11.32
2018    4.6    4.4    5.2   10.2   15.6   17.8   19.4   16.4   13.7   11.3    8.9    6.8    4.93   10.31   17.87   11.29   11.23
2019    5.2    8.5    8.1   11.7   12.5   15.5   18.4   17.4   14.9   10.3    6.1    6.7    6.81   10.77   17.11   10.47   11.31
2020    7.3    5.8    7.5   11.8   14.5   16.5   15.9   17.2   14.8   10.7    9.3    5.7    6.65   11.23   16.52   11.59   11.43
2021    3.1    5.2    8.3    9.6   11.8   16.9   19.2   17.5   16.3                         4.67    9.90   17.88                
